datetime,symbol,longShortRatio,longAccount,shortAccount,timestamp
2026-03-07 04:00:00,BTCUSDT,1.9163,0.6571,0.3429,1772856000000
2026-03-07 04:05:00,BTCUSDT,1.9112,0.6565,0.3435,1772856300000
2026-03-07 04:10:00,BTCUSDT,1.9104,0.6564,0.3436,1772856600000
2026-03-07 04:15:00,BTCUSDT,1.9112,0.6565,0.3435,1772856900000
2026-03-07 04:20:00,BTCUSDT,1.9155,0.6570,0.3430,1772857200000
2026-03-07 04:25:00,BTCUSDT,1.9155,0.6570,0.3430,1772857500000
2026-03-07 04:30:00,BTCUSDT,1.9189,0.6574,0.3426,1772857800000
2026-03-07 04:35:00,BTCUSDT,1.9189,0.6574,0.3426,1772858100000
2026-03-07 04:40:00,BTCUSDT,1.9223,0.6578,0.3422,1772858400000
2026-03-07 04:45:00,BTCUSDT,1.9248,0.6581,0.3419,1772858700000
2026-03-07 04:50:00,BTCUSDT,1.9240,0.6580,0.3420,1772859000000
2026-03-07 04:55:00,BTCUSDT,1.9248,0.6581,0.3419,1772859300000
2026-03-07 05:00:00,BTCUSDT,1.9189,0.6574,0.3426,1772859600000
2026-03-07 05:05:00,BTCUSDT,1.9172,0.6572,0.3428,1772859900000
2026-03-07 05:10:00,BTCUSDT,1.9189,0.6574,0.3426,1772860200000
2026-03-07 05:15:00,BTCUSDT,1.9180,0.6573,0.3427,1772860500000
2026-03-07 05:20:00,BTCUSDT,1.9146,0.6569,0.3431,1772860800000
2026-03-07 05:25:00,BTCUSDT,1.9121,0.6566,0.3434,1772861100000
2026-03-07 05:30:00,BTCUSDT,1.9121,0.6566,0.3434,1772861400000
2026-03-07 05:35:00,BTCUSDT,1.9172,0.6572,0.3428,1772861700000
2026-03-07 05:40:00,BTCUSDT,1.9146,0.6569,0.3431,1772862000000
2026-03-07 05:45:00,BTCUSDT,1.9189,0.6574,0.3426,1772862300000
2026-03-07 05:50:00,BTCUSDT,1.9223,0.6578,0.3422,1772862600000
2026-03-07 05:55:00,BTCUSDT,1.9197,0.6575,0.3425,1772862900000
2026-03-07 06:00:00,BTCUSDT,1.9189,0.6574,0.3426,1772863200000
2026-03-07 06:05:00,BTCUSDT,1.9180,0.6573,0.3427,1772863500000
2026-03-07 06:10:00,BTCUSDT,1.9189,0.6574,0.3426,1772863800000
2026-03-07 06:15:00,BTCUSDT,1.9146,0.6569,0.3431,1772864100000
2026-03-07 06:20:00,BTCUSDT,1.9163,0.6571,0.3429,1772864400000
2026-03-07 06:25:00,BTCUSDT,1.9129,0.6567,0.3433,1772864700000
2026-03-07 06:30:00,BTCUSDT,1.9070,0.6560,0.3440,1772865000000
2026-03-07 06:35:00,BTCUSDT,1.9061,0.6559,0.3441,1772865300000
2026-03-07 06:40:00,BTCUSDT,1.9036,0.6556,0.3444,1772865600000
2026-03-07 06:45:00,BTCUSDT,1.9078,0.6561,0.3439,1772865900000
2026-03-07 06:50:00,BTCUSDT,1.9121,0.6566,0.3434,1772866200000
2026-03-07 06:55:00,BTCUSDT,1.8785,0.6526,0.3474,1772866500000
2026-03-07 07:00:00,BTCUSDT,1.8752,0.6522,0.3478,1772866800000
2026-03-07 07:05:00,BTCUSDT,1.8523,0.6494,0.3506,1772867100000
2026-03-07 07:10:00,BTCUSDT,1.8393,0.6478,0.3522,1772867400000
2026-03-07 07:15:00,BTCUSDT,1.8377,0.6476,0.3524,1772867700000
2026-03-07 07:20:00,BTCUSDT,1.8385,0.6477,0.3523,1772868000000
2026-03-07 07:25:00,BTCUSDT,1.8466,0.6487,0.3513,1772868300000
2026-03-07 07:30:00,BTCUSDT,1.8506,0.6492,0.3508,1772868600000
2026-03-07 07:35:00,BTCUSDT,1.8531,0.6495,0.3505,1772868900000
2026-03-07 07:40:00,BTCUSDT,1.8555,0.6498,0.3502,1772869200000
2026-03-07 07:45:00,BTCUSDT,1.8571,0.6500,0.3500,1772869500000
2026-03-07 07:50:00,BTCUSDT,1.8637,0.6508,0.3492,1772869800000
2026-03-07 07:55:00,BTCUSDT,1.8678,0.6513,0.3487,1772870100000
2026-03-07 08:00:00,BTCUSDT,1.8736,0.6520,0.3480,1772870400000
2026-03-07 08:05:00,BTCUSDT,1.8711,0.6517,0.3483,1772870700000
2026-03-07 08:10:00,BTCUSDT,1.8670,0.6512,0.3488,1772871000000
2026-03-07 08:15:00,BTCUSDT,1.8711,0.6517,0.3483,1772871300000
2026-03-07 08:20:00,BTCUSDT,1.8868,0.6536,0.3464,1772871600000
2026-03-07 08:25:00,BTCUSDT,1.8969,0.6548,0.3452,1772871900000
2026-03-07 08:30:00,BTCUSDT,1.8994,0.6551,0.3449,1772872200000
