datetime,symbol,longShortRatio,longAccount,shortAccount,timestamp
2026-03-07 04:00:00,BTCUSDT,1.2011,0.5457,0.4543,1772856000000
2026-03-07 04:05:00,BTCUSDT,1.2006,0.5456,0.4544,1772856300000
2026-03-07 04:10:00,BTCUSDT,1.2044,0.5464,0.4536,1772856600000
2026-03-07 04:15:00,BTCUSDT,1.2053,0.5466,0.4534,1772856900000
2026-03-07 04:20:00,BTCUSDT,1.2052,0.5465,0.4535,1772857200000
2026-03-07 04:25:00,BTCUSDT,1.2089,0.5473,0.4527,1772857500000
2026-03-07 04:30:00,BTCUSDT,1.2092,0.5474,0.4526,1772857800000
2026-03-07 04:35:00,BTCUSDT,1.2096,0.5474,0.4526,1772858100000
2026-03-07 04:40:00,BTCUSDT,1.2102,0.5475,0.4525,1772858400000
2026-03-07 04:45:00,BTCUSDT,1.2103,0.5476,0.4524,1772858700000
2026-03-07 04:50:00,BTCUSDT,1.2103,0.5476,0.4524,1772859000000
2026-03-07 04:55:00,BTCUSDT,1.2088,0.5473,0.4527,1772859300000
2026-03-07 05:00:00,BTCUSDT,1.2081,0.5471,0.4529,1772859600000
2026-03-07 05:05:00,BTCUSDT,1.2086,0.5472,0.4528,1772859900000
2026-03-07 05:10:00,BTCUSDT,1.2125,0.548,0.452,1772860200000
2026-03-07 05:15:00,BTCUSDT,1.211,0.5477,0.4523,1772860500000
2026-03-07 05:20:00,BTCUSDT,1.2109,0.5477,0.4523,1772860800000
2026-03-07 05:25:00,BTCUSDT,1.2101,0.5475,0.4525,1772861100000
2026-03-07 05:30:00,BTCUSDT,1.2101,0.5475,0.4525,1772861400000
2026-03-07 05:35:00,BTCUSDT,1.2108,0.5477,0.4523,1772861700000
2026-03-07 05:40:00,BTCUSDT,1.21,0.5475,0.4525,1772862000000
2026-03-07 05:45:00,BTCUSDT,1.211,0.5477,0.4523,1772862300000
2026-03-07 05:50:00,BTCUSDT,1.2116,0.5478,0.4522,1772862600000
2026-03-07 05:55:00,BTCUSDT,1.2122,0.548,0.452,1772862900000
2026-03-07 06:00:00,BTCUSDT,1.2111,0.5477,0.4523,1772863200000
2026-03-07 06:05:00,BTCUSDT,1.2103,0.5476,0.4524,1772863500000
2026-03-07 06:10:00,BTCUSDT,1.2089,0.5473,0.4527,1772863800000
2026-03-07 06:15:00,BTCUSDT,1.2092,0.5473,0.4527,1772864100000
2026-03-07 06:20:00,BTCUSDT,1.2101,0.5475,0.4525,1772864400000
2026-03-07 06:25:00,BTCUSDT,1.2089,0.5473,0.4527,1772864700000
2026-03-07 06:30:00,BTCUSDT,1.21,0.5475,0.4525,1772865000000
2026-03-07 06:35:00,BTCUSDT,1.2108,0.5477,0.4523,1772865300000
2026-03-07 06:40:00,BTCUSDT,1.2109,0.5477,0.4523,1772865600000
2026-03-07 06:45:00,BTCUSDT,1.2119,0.5479,0.4521,1772865900000
2026-03-07 06:50:00,BTCUSDT,1.212,0.5479,0.4521,1772866200000
2026-03-07 06:55:00,BTCUSDT,1.2053,0.5465,0.4535,1772866500000
2026-03-07 07:00:00,BTCUSDT,1.209,0.5473,0.4527,1772866800000
2026-03-07 07:05:00,BTCUSDT,1.2072,0.5469,0.4531,1772867100000
2026-03-07 07:10:00,BTCUSDT,1.2061,0.5467,0.4533,1772867400000
2026-03-07 07:15:00,BTCUSDT,1.2099,0.5475,0.4525,1772867700000
2026-03-07 07:20:00,BTCUSDT,1.2094,0.5474,0.4526,1772868000000
2026-03-07 07:25:00,BTCUSDT,1.2105,0.5476,0.4524,1772868300000
2026-03-07 07:30:00,BTCUSDT,1.2117,0.5479,0.4521,1772868600000
2026-03-07 07:35:00,BTCUSDT,1.2128,0.5481,0.4519,1772868900000
2026-03-07 07:40:00,BTCUSDT,1.2125,0.548,0.452,1772869200000
2026-03-07 07:45:00,BTCUSDT,1.2131,0.5481,0.4519,1772869500000
2026-03-07 07:50:00,BTCUSDT,1.2138,0.5483,0.4517,1772869800000
2026-03-07 07:55:00,BTCUSDT,1.2134,0.5482,0.4518,1772870100000
2026-03-07 08:00:00,BTCUSDT,1.2127,0.5481,0.4519,1772870400000
2026-03-07 08:05:00,BTCUSDT,1.2116,0.5478,0.4522,1772870700000
2026-03-07 08:10:00,BTCUSDT,1.2108,0.5477,0.4523,1772871000000
2026-03-07 08:15:00,BTCUSDT,1.2119,0.5479,0.4521,1772871300000
2026-03-07 08:20:00,BTCUSDT,1.2139,0.5483,0.4517,1772871600000
2026-03-07 08:25:00,BTCUSDT,1.2168,0.5489,0.4511,1772871900000
2026-03-07 08:30:00,BTCUSDT,1.2152,0.5486,0.4514,1772872200000
2026-03-07 08:35:00,BTCUSDT,1.2153,0.5486,0.4514,1772872500000
2026-03-07 08:40:00,BTCUSDT,1.2145,0.5484,0.4516,1772872800000
2026-03-07 08:45:00,BTCUSDT,1.2137,0.5483,0.4517,1772873100000
2026-03-07 08:50:00,BTCUSDT,1.2141,0.5483,0.4517,1772873400000
2026-03-07 08:55:00,BTCUSDT,1.2136,0.5483,0.4517,1772873700000
2026-03-07 09:00:00,BTCUSDT,1.2131,0.5481,0.4519,1772874000000
2026-03-07 09:05:00,BTCUSDT,1.2125,0.548,0.452,1772874300000
2026-03-07 09:10:00,BTCUSDT,1.2123,0.548,0.452,1772874600000
2026-03-07 09:15:00,BTCUSDT,1.2132,0.5482,0.4518,1772874900000
2026-03-07 09:20:00,BTCUSDT,1.2118,0.5479,0.4521,1772875200000
2026-03-07 09:25:00,BTCUSDT,1.2128,0.5481,0.4519,1772875500000
2026-03-07 09:30:00,BTCUSDT,1.2128,0.5481,0.4519,1772875800000
2026-03-07 09:35:00,BTCUSDT,1.2137,0.5483,0.4517,1772876100000
2026-03-07 09:40:00,BTCUSDT,1.2133,0.5482,0.4518,1772876400000
2026-03-07 09:45:00,BTCUSDT,1.2139,0.5483,0.4517,1772876700000
2026-03-07 09:50:00,BTCUSDT,1.2134,0.5482,0.4518,1772877000000
2026-03-07 09:55:00,BTCUSDT,1.213,0.5481,0.4519,1772877300000
2026-03-07 10:00:00,BTCUSDT,1.2141,0.5483,0.4517,1772877600000
2026-03-07 10:05:00,BTCUSDT,1.2118,0.5479,0.4521,1772877900000
2026-03-07 10:10:00,BTCUSDT,1.2126,0.5481,0.4519,1772878200000
2026-03-07 10:15:00,BTCUSDT,1.2123,0.548,0.452,1772878500000
2026-03-07 10:20:00,BTCUSDT,1.212,0.5479,0.4521,1772878800000
2026-03-07 10:25:00,BTCUSDT,1.2114,0.5478,0.4522,1772879100000
2026-03-07 10:30:00,BTCUSDT,1.212,0.5479,0.4521,1772879400000
2026-03-07 10:35:00,BTCUSDT,1.2115,0.5478,0.4522,1772879700000
