datetime,symbol,longShortRatio,longAccount,shortAccount,timestamp
2026-03-07 04:00:00,BTCUSDT,1.986,0.6651,0.3349,1772856000000
2026-03-07 04:05:00,BTCUSDT,1.9904,0.6656,0.3344,1772856300000
2026-03-07 04:10:00,BTCUSDT,1.9895,0.6655,0.3345,1772856600000
2026-03-07 04:15:00,BTCUSDT,1.9904,0.6656,0.3344,1772856900000
2026-03-07 04:20:00,BTCUSDT,1.9922,0.6658,0.3342,1772857200000
2026-03-07 04:25:00,BTCUSDT,1.994,0.666,0.334,1772857500000
2026-03-07 04:30:00,BTCUSDT,1.9976,0.6664,0.3336,1772857800000
2026-03-07 04:35:00,BTCUSDT,1.9967,0.6663,0.3337,1772858100000
2026-03-07 04:40:00,BTCUSDT,1.9985,0.6665,0.3335,1772858400000
2026-03-07 04:45:00,BTCUSDT,2.0012,0.6668,0.3332,1772858700000
2026-03-07 04:50:00,BTCUSDT,2.0012,0.6668,0.3332,1772859000000
2026-03-07 04:55:00,BTCUSDT,2.0003,0.6667,0.3333,1772859300000
2026-03-07 05:00:00,BTCUSDT,1.9922,0.6658,0.3342,1772859600000
2026-03-07 05:05:00,BTCUSDT,1.9904,0.6656,0.3344,1772859900000
2026-03-07 05:10:00,BTCUSDT,1.9913,0.6657,0.3343,1772860200000
2026-03-07 05:15:00,BTCUSDT,1.9922,0.6658,0.3342,1772860500000
2026-03-07 05:20:00,BTCUSDT,1.9931,0.6659,0.3341,1772860800000
2026-03-07 05:25:00,BTCUSDT,1.9913,0.6657,0.3343,1772861100000
2026-03-07 05:30:00,BTCUSDT,1.9913,0.6657,0.3343,1772861400000
2026-03-07 05:35:00,BTCUSDT,1.9994,0.6666,0.3334,1772861700000
2026-03-07 05:40:00,BTCUSDT,1.9967,0.6663,0.3337,1772862000000
2026-03-07 05:45:00,BTCUSDT,1.9994,0.6666,0.3334,1772862300000
2026-03-07 05:50:00,BTCUSDT,2.0012,0.6668,0.3332,1772862600000
2026-03-07 05:55:00,BTCUSDT,2.0003,0.6667,0.3333,1772862900000
2026-03-07 06:00:00,BTCUSDT,2.0003,0.6667,0.3333,1772863200000
2026-03-07 06:05:00,BTCUSDT,2.0012,0.6668,0.3332,1772863500000
2026-03-07 06:10:00,BTCUSDT,2.0003,0.6667,0.3333,1772863800000
2026-03-07 06:15:00,BTCUSDT,1.9976,0.6664,0.3336,1772864100000
2026-03-07 06:20:00,BTCUSDT,1.9985,0.6665,0.3335,1772864400000
2026-03-07 06:25:00,BTCUSDT,1.9967,0.6663,0.3337,1772864700000
2026-03-07 06:30:00,BTCUSDT,1.9931,0.6659,0.3341,1772865000000
2026-03-07 06:35:00,BTCUSDT,1.9931,0.6659,0.3341,1772865300000
2026-03-07 06:40:00,BTCUSDT,1.9949,0.6661,0.3339,1772865600000
2026-03-07 06:45:00,BTCUSDT,1.9967,0.6663,0.3337,1772865900000
2026-03-07 06:50:00,BTCUSDT,1.9994,0.6666,0.3334,1772866200000
2026-03-07 06:55:00,BTCUSDT,1.9797,0.6644,0.3356,1772866500000
2026-03-07 07:00:00,BTCUSDT,1.9771,0.6641,0.3359,1772866800000
2026-03-07 07:05:00,BTCUSDT,1.9621,0.6624,0.3376,1772867100000
2026-03-07 07:10:00,BTCUSDT,1.9586,0.662,0.338,1772867400000
2026-03-07 07:15:00,BTCUSDT,1.9603,0.6622,0.3378,1772867700000
2026-03-07 07:20:00,BTCUSDT,1.9612,0.6623,0.3377,1772868000000
2026-03-07 07:25:00,BTCUSDT,1.9656,0.6628,0.3372,1772868300000
2026-03-07 07:30:00,BTCUSDT,1.9691,0.6632,0.3368,1772868600000
2026-03-07 07:35:00,BTCUSDT,1.9709,0.6634,0.3366,1772868900000
2026-03-07 07:40:00,BTCUSDT,1.9735,0.6637,0.3363,1772869200000
2026-03-07 07:45:00,BTCUSDT,1.9744,0.6638,0.3362,1772869500000
2026-03-07 07:50:00,BTCUSDT,1.9797,0.6644,0.3356,1772869800000
2026-03-07 07:55:00,BTCUSDT,1.9833,0.6648,0.3352,1772870100000
2026-03-07 08:00:00,BTCUSDT,1.9895,0.6655,0.3345,1772870400000
2026-03-07 08:05:00,BTCUSDT,1.9869,0.6652,0.3348,1772870700000
2026-03-07 08:10:00,BTCUSDT,1.9824,0.6647,0.3353,1772871000000
2026-03-07 08:15:00,BTCUSDT,1.986,0.6651,0.3349,1772871300000
2026-03-07 08:20:00,BTCUSDT,1.9976,0.6664,0.3336,1772871600000
2026-03-07 08:25:00,BTCUSDT,2.0057,0.6673,0.3327,1772871900000
2026-03-07 08:30:00,BTCUSDT,2.0093,0.6677,0.3323,1772872200000
2026-03-07 08:35:00,BTCUSDT,2.013,0.6681,0.3319,1772872500000
2026-03-07 08:40:00,BTCUSDT,2.0075,0.6675,0.3325,1772872800000
2026-03-07 08:45:00,BTCUSDT,2.0066,0.6674,0.3326,1772873100000
2026-03-07 08:50:00,BTCUSDT,2.0021,0.6669,0.3331,1772873400000
2026-03-07 08:55:00,BTCUSDT,2.003,0.667,0.333,1772873700000
