datetime,pair,contractType,indexPrice,futuresPrice,basis,basisRate,annualizedBasisRate,timestamp
2026-04-05 12:55:00,BTCUSDT,PERPETUAL,66786.83173913,66746.4,-40.43173913,-0.0006,,1775393700000
2026-04-05 13:00:00,BTCUSDT,PERPETUAL,66787.58130435,66751.5,-36.08130435,-0.0005,,1775394000000
2026-04-05 13:05:00,BTCUSDT,PERPETUAL,66851.29826087,66821.3,-29.99826087,-0.0004,,1775394300000
2026-04-05 13:10:00,BTCUSDT,PERPETUAL,66818.7915,66788.1,-30.6915,-0.0005,,1775394600000
2026-04-05 13:15:00,BTCUSDT,PERPETUAL,66765.31575,66726.1,-39.21575,-0.0006,,1775394900000
2026-04-05 13:20:00,BTCUSDT,PERPETUAL,66793.09195652,66769.4,-23.69195652,-0.0004,,1775395200000
2026-04-05 13:25:00,BTCUSDT,PERPETUAL,66839.78043478,66805.5,-34.28043478,-0.0005,,1775395500000
2026-04-05 13:30:00,BTCUSDT,PERPETUAL,66723.91586957,66676.6,-47.31586957,-0.0007,,1775395800000
2026-04-05 13:35:00,BTCUSDT,PERPETUAL,66820.04891304,66780.1,-39.94891304,-0.0006,,1775396100000
2026-04-05 13:40:00,BTCUSDT,PERPETUAL,66841.99913043,66815.5,-26.49913043,-0.0004,,1775396400000
2026-04-05 13:45:00,BTCUSDT,PERPETUAL,66836.30391304,66802.2,-34.10391304,-0.0005,,1775396700000
2026-04-05 13:50:00,BTCUSDT,PERPETUAL,66857.1865,66831.0,-26.1865,-0.0004,,1775397000000
2026-04-05 13:55:00,BTCUSDT,PERPETUAL,66880.4526087,66841.2,-39.2526087,-0.0006,,1775397300000
2026-04-05 14:00:00,BTCUSDT,PERPETUAL,66895.30956522,66863.5,-31.80956522,-0.0005,,1775397600000
2026-04-05 14:05:00,BTCUSDT,PERPETUAL,66946.12304348,66929.0,-17.12304348,-0.0003,,1775397900000
2026-04-05 14:10:00,BTCUSDT,PERPETUAL,66927.13775,66898.4,-28.73775,-0.0004,,1775398200000
2026-04-05 14:15:00,BTCUSDT,PERPETUAL,66877.64304348,66849.2,-28.44304348,-0.0004,,1775398500000
2026-04-05 14:20:00,BTCUSDT,PERPETUAL,66860.79,66836.8,-23.99,-0.0004,,1775398800000
2026-04-05 14:25:00,BTCUSDT,PERPETUAL,66880.00586957,66855.0,-25.00586957,-0.0004,,1775399100000
2026-04-05 14:30:00,BTCUSDT,PERPETUAL,66907.98391304,66879.3,-28.68391304,-0.0004,,1775399400000
2026-04-05 14:35:00,BTCUSDT,PERPETUAL,66897.74525,66865.2,-32.54525,-0.0005,,1775399700000
2026-04-05 14:40:00,BTCUSDT,PERPETUAL,66942.33543478,66909.1,-33.23543478,-0.0005,,1775400000000
2026-04-05 14:45:00,BTCUSDT,PERPETUAL,66946.06391304,66910.5,-35.56391304,-0.0005,,1775400300000
2026-04-05 14:50:00,BTCUSDT,PERPETUAL,66933.5015,66901.0,-32.5015,-0.0005,,1775400600000
2026-04-05 14:55:00,BTCUSDT,PERPETUAL,66935.67825,66903.1,-32.57825,-0.0005,,1775400900000
2026-04-05 15:00:00,BTCUSDT,PERPETUAL,66921.898,66892.6,-29.298,-0.0004,,1775401200000
